property_id,property_russian,canonical_name,category_russian,category,canonical_unit,unit_rule,description
chromium,хром,chromium,микроэлементы,microelement,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
cobalt,кобальт,cobalt,микроэлементы,microelement,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
copper,медь,copper,микроэлементы,microelement,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
iron,железо,iron,микроэлементы,microelement,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
manganese,марганец,manganese,микроэлементы,microelement,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
molybdenum,молибден,molybdenum,микроэлементы,microelement,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
nickel,никель,nickel,микроэлементы,microelement,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
zinc,цинк,zinc,микроэлементы,microelement,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
carbonate_equivalent,карбонатный эквивалент (CaCO₃),carbonate equivalent (CaCO3),органическое вещество и углерод,organic,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
inorganic_carbon,неорганический углерод,inorganic carbon,органическое вещество и углерод,organic,g/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
organic_matter,органическое вещество (гумус),organic matter/humus,органическое вещество и углерод,organic,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
soil_organic_carbon,органический углерод почвы,soil organic carbon,органическое вещество и углерод,organic,g/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
water_soluble_organic_carbon,водорастворимый органический углерод,water soluble organic carbon,органическое вещество и углерод,organic,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Direct-profile Table 1 template; source value and unit retained.
clay,глина,clay,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
coarse_sand,крупный песок,coarse sand,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
fine_fraction_lt_0_001mm,"илистая фракция (<0,001 мм)",fine fraction <0.001 mm,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Direct-profile Table 1 template; source value and unit retained.
fine_sand,мелкий песок,fine sand,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
physical_clay,физическая глина,physical clay,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
sand,песок,sand,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
silt,пылеватая фракция,silt,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
aggregate_stability,агрегатная устойчивость,aggregate stability,физические свойства,physical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
bulk_density,плотность сложения,bulk density,физические свойства,physical,g/cm3,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
particle_density,плотность твёрдой фазы,particle density,физические свойства,physical,g/cm3,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
penetration_resistance,сопротивление пенетрации,penetration resistance,физические свойства,physical,MPa,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
porosity,общая пористость,total porosity,физические свойства,physical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
electrical_conductivity,электропроводность,electrical conductivity,засоление и минерализация,salinity,dS/m,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
exchangeable_sodium_percentage,доля обменного натрия (ESP),exchangeable sodium percentage,засоление и минерализация,salinity,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
sodium_adsorption_ratio,коэффициент адсорбции натрия (SAR),sodium adsorption ratio,засоление и минерализация,salinity,,Единица зависит от методики; автоматическое приведение не выполняется.,Canonical vocabulary; source observations remain separately evidenced.
total_dissolved_solids,общее содержание растворённых веществ,total dissolved solids,засоление и минерализация,salinity,g/L,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
calcium_ion_activity_paste,активность ионов кальция в почвенной пасте,calcium ion activity in soil paste,почвенный раствор,soil_solution,mmol/L,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Activity of Ca2+ in a soil paste; not total calcium concentration.
calcium_ion,ион кальция Ca2+ (метод не указан),calcium ion Ca2+,почвенный раствор,soil_solution,,Метод вытяжки не указан заголовком; единица намеренно не приводится.,Ca2+ reported as an ion; water extract or exchange complex not stated.
magnesium_ion,ион магния Mg2+ (метод не указан),magnesium ion Mg2+,почвенный раствор,soil_solution,,Метод вытяжки не указан заголовком; единица намеренно не приводится.,Mg2+ reported as an ion; extraction not stated.
sodium_ion,ион натрия Na+ (метод не указан),sodium ion Na+,почвенный раствор,soil_solution,,Метод вытяжки не указан заголовком; единица намеренно не приводится.,Na+ reported as an ion; extraction not stated.
potassium_ion,ион калия K+ (метод не указан),potassium ion K+,почвенный раствор,soil_solution,,Метод вытяжки не указан заголовком; единица намеренно не приводится.,K+ reported as an ion; extraction not stated.
ammonium_ion,ион аммония NH4+ (метод не указан),ammonium ion NH4+,почвенный раствор,soil_solution,,Метод вытяжки не указан заголовком; единица намеренно не приводится.,NH4+ reported as an ion; extraction not stated.
hydrogen_ion,ион водорода H+ (метод не указан),hydrogen ion H+,почвенный раствор,soil_solution,,Метод вытяжки не указан заголовком; единица намеренно не приводится.,H+ reported as an ion; extraction not stated.
aluminium_ion,ион алюминия Al3+ (метод не указан),aluminium ion Al3+,почвенный раствор,soil_solution,,Метод вытяжки не указан заголовком; единица намеренно не приводится.,Al3+ reported as an ion; extraction not stated.
chloride_ion,хлорид-ион Cl-,chloride ion Cl-,почвенный раствор,soil_solution,,Единица как напечатана автором; автоматическое приведение не выполняется.,Cl- in the water extract; unit as printed.
sulfate_ion,сульфат-ион SO4 2-,sulfate ion SO4 2-,почвенный раствор,soil_solution,,Единица как напечатана автором; автоматическое приведение не выполняется.,SO4 2- in the water extract; unit as printed.
bicarbonate_ion,гидрокарбонат-ион HCO3-,bicarbonate ion HCO3-,почвенный раствор,soil_solution,,Единица как напечатана автором; автоматическое приведение не выполняется.,HCO3- in the water extract; unit as printed.
carbonate_ion,карбонат-ион CO3 2-,carbonate ion CO3 2-,почвенный раствор,soil_solution,,Единица как напечатана автором; автоматическое приведение не выполняется.,CO3 2- in the water extract; unit as printed.
nitrate_ion,нитрат-ион NO3- (метод не указан),nitrate ion NO3-,почвенный раствор,soil_solution,,Метод вытяжки не указан заголовком; единица намеренно не приводится.,NO3- reported as an ion; extraction not stated.
coarse_silt,крупная пыль (0.05–0.01 мм),coarse silt 0.05-0.01 mm,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Kachinsky coarse silt fraction.
medium_silt,средняя пыль (0.01–0.005 мм),medium silt 0.01-0.005 mm,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Kachinsky medium silt fraction.
fine_silt,мелкая пыль (0.005–0.001 мм),fine silt 0.005-0.001 mm,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Kachinsky fine silt fraction.
very_coarse_sand,очень крупный песок (3–1 мм),very coarse sand 3-1 mm,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Fraction coarser than 1 mm.
titanium_dioxide,диоксид титана TiO2,titanium dioxide TiO2,геохимия,geochemical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Bulk TiO2 content.
manganese_oxide_mno,оксид марганца MnO,manganese oxide MnO,геохимия,geochemical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Bulk MnO content.
carbon_nitrogen_ratio,отношение C:N,C:N ratio,органическое вещество и углерод,organic,,Безразмерное отношение; автоматическое приведение не требуется.,Dimensionless ratio of organic carbon to total nitrogen.
carbon_phosphorus_ratio,отношение C:P,C:P ratio,органическое вещество и углерод,organic,,Безразмерное отношение; автоматическое приведение не требуется.,Dimensionless ratio of organic carbon to phosphorus.
hydrogen_carbon_ratio,отношение H:C,H:C ratio,органическое вещество и углерод,organic,,Безразмерное атомное отношение; используется в химии гумуса.,Dimensionless atomic ratio used in humus chemistry.
oxygen_carbon_ratio,отношение O:C,O:C ratio,органическое вещество и углерод,organic,,Безразмерное атомное отношение; используется в химии гумуса.,Dimensionless atomic ratio used in humus chemistry.
horizon_thickness,мощность горизонта,soil horizon thickness,почвенное свойство,soil_property,cm,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
soil_organic_carbon_stock,запас органического углерода почвы,soil organic carbon stock,органическое вещество и углерод,organic,t/ha,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
aggregate_fraction,доля агрегатной фракции,aggregate size fraction,ручной ввод из статьи,manual_article,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
organic_matter_stock,запас органического вещества (гумуса),organic matter/humus stock,органическое вещество и углерод,organic,t/ha,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
soil_organic_carbon_pct,органический углерод (метод не уточнён),organic carbon,углерод,carbon,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
air_capacity_field_capacity,воздухоёмкость при наименьшей влагоёмкости,air capacity at field capacity,почвенное свойство,soil_property,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
runoff,поверхностный сток,runoff,ручной ввод из статьи,manual_article,mm,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
ph_salt_extract,pH солевой вытяжки (экстрагент не уточнён),pH in salt extract,почвенное свойство,soil_property,pH,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
corg,"органический углерод (Corg, источник-специфичный ряд)",Organic carbon rcsi405804,почвенные измерения,soil_measurement,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
ph,pH водной вытяжки (источник-специфичный ряд),pH H2O rcsi405803,почвенные измерения,soil_measurement,pH,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
soil_total_carbon_pct,общий углерод почвы,total carbon,углерод,carbon,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
annual_precipitation,годовое количество осадков,annual precipitation,ручной ввод из статьи,manual_article,mm,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
depth_or_x,показатель «x p» (заголовок источника не расшифрован),x p,ручной ввод из статьи,manual_article,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
precipitation_total,суммарное количество осадков,total precipitation,климат,climate,mm,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
calcium_magnesium_ratio,отношение Ca/Mg,calcium to magnesium ratio,почвенный раствор,soil_solution,1,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
qCO2,удельное микробное дыхание (qCO₂),specific microbial respiration qCO2,биологические свойства,biological,?g C-CO2/mg C/h,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
sum_exchangeable_bases,сумма обменных оснований,sum exchangeable bases,химические свойства почвы,soil_chemistry,cmol(+)/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
ec,электропроводность (источник-специфичный ряд),Electrical conductivity rcsi405803,почвенные измерения,soil_measurement,uS/cm,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
field_capacity_water_storage,запас влаги при наименьшей влагоёмкости,field-capacity water storage,вода,water,mm,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
fungal_fraction,доля грибной биомассы,fungal fraction,биологические свойства,biological,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
litter_thickness,мощность лесной подстилки,litter thickness,ручной ввод из статьи,manual_article,cm,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
volumetric_water_content,объёмная влажность почвы,volumetric soil water content,вода,water,m3/m3,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
organic_matter_pct,органическое вещество (метод не уточнён),organic matter,органическое вещество и углерод,organic,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
potassium_mgkg,калий (валовое содержание),potassium,элементный состав почвы,soil_elements,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
salt_sum,сумма солей,sum of salts,ручной ввод из статьи,manual_article,g/L,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
snow_depth,высота снежного покрова,snow cover depth,ручной ввод из статьи,manual_article,cm,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
soil_respiration,эмиссия CO₂ из почвы,CO2 emission,ручной ввод из статьи,manual_article,g CO2/(m2 day),Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
soil_fraction_0_001_0_005,почвенная фракция 0.001–0.005 мм,soil particle fraction 0.001-0.005 mm,гранулометрический состав,particle_size,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
rcsi282682_phosphorus,"фосфор (источник-специфичный ряд, табл. 2)",Phosphorus [rcsi282682 Table 2],почвенные измерения,soil_measurement,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
