property_id,property,property_ru,category,category_ru,observations,documents,unit_proven_pct,header_trusted_pct,value_plausible_pct,with_depth_pct,with_spatial_pct,unit_mode,median,p25,p75,n_metric
bulk_density,bulk density,плотность сложения,physical,физические свойства,1295,73,57.5,100.0,92.7,52.4,76.5,g/cm3,1.27,1.0,1.45,650
sand,sand,песок,particle_size,гранулометрический состав,1150,110,42.9,100.0,97.7,20.8,46.7,%,39.4,16.0,61.83,481
chloride_ion,chloride ion Cl-,хлорид-ион Cl-,soil_solution,почвенный раствор,1148,63,1.2,100.0,99.1,60.9,81.6,%,0.82,0.44,3.5,14
sulfate_ion,sulfate ion SO4 2-,сульфат-ион SO4 2-,soil_solution,почвенный раствор,1132,61,0.7,100.0,98.9,57.7,79.8,%,1.07,1.01,1.13,8
ph_kcl,pH in KCl,pH солевой (KCl) вытяжки,acid_base,кислотно-основные,1015,77,89.6,100.0,90.2,45.6,76.7,pH,5.1,4.4,5.84,829
chromium,chromium,хром,microelement,микроэлементы,984,50,5.8,100.0,90.8,8.9,44.9,mg/kg,237.0,15.9,1308.0,57
cadmium,cadmium,кадмий,contaminant,потенциальные загрязнители,947,63,5.0,85.9,97.9,10.0,74.9,mg/kg,0.05,0.02,0.12,39
exchangeable_calcium,exchangeable calcium,обменный кальций,exchange,обменный комплекс,837,52,3.5,100.0,100.0,68.7,87.6,mol(+)/kg,0.37,0.28,0.74,29
calcium_oxide_cao,calcium oxide CaO,оксид кальция (CaO),geochemical,геохимические свойства,731,64,4.5,100.0,99.0,48.8,89.1,%,7.33,1.97,11.6,33
bicarbonate_ion,bicarbonate ion HCO3-,гидрокарбонат-ион HCO3-,soil_solution,почвенный раствор,709,41,1.8,100.0,100.0,50.5,89.3,%,0.04,0.03,56.0,13
potassium_oxide_k2o,potassium oxide K2O,оксид калия (K₂O),geochemical,геохимические свойства,686,37,0.0,100.0,100.0,33.7,98.5,,,,,0
carbonate_equivalent,carbonate equivalent (CaCO3),карбонатный эквивалент (CaCO₃),organic,органическое вещество и углерод,685,52,60.1,100.0,99.1,41.6,74.5,%,2.1,0.4,9.0,412
cobalt,cobalt,кобальт,microelement,микроэлементы,671,48,1.5,86.1,98.5,16.5,89.4,mg/kg,0.07,0.05,0.15,10
phosphorus_pentoxide,phosphorus pentoxide (P2O5),пентаоксид фосфора (P₂O₅),elemental_oxide,элементный и оксидный состав,626,38,5.3,100.0,99.2,42.0,98.6,%,0.42,0.13,0.67,33
porosity,total porosity,общая пористость,physical,физические свойства,608,37,78.3,100.0,99.3,36.5,70.4,%,48.8,41.8,55.0,472
magnesium_oxide_mgo,magnesium oxide MgO,оксид магния (MgO),geochemical,геохимические свойства,601,54,0.0,100.0,99.0,56.9,87.9,,,,,0
arsenic,arsenic,мышьяк,contaminant,потенциальные загрязнители,529,28,0.0,71.1,99.1,13.2,89.0,,,,,0
hydrogen_ion,hydrogen ion H+,ион водорода H+ (метод не указан),soil_solution,почвенный раствор,492,23,8.9,100.0,100.0,57.3,77.2,%,5.6,1.7,11.0,44
base_saturation,base saturation,степень насыщенности основаниями,exchange,обменный комплекс,473,25,90.9,100.0,99.8,71.7,79.9,%,66.0,24.91,85.2,429
basal_respiration,basal respiration,базальное дыхание,biological,биологические свойства,385,20,0.0,100.0,92.7,5.7,66.0,,,,,0
manganese_oxide_mno,manganese oxide MnO,оксид марганца MnO,geochemical,геохимия,381,37,0.0,100.0,100.0,60.6,92.1,,,,,0
titanium_dioxide,titanium dioxide TiO2,диоксид титана TiO2,geochemical,геохимия,357,36,0.0,100.0,100.0,61.6,92.2,,,,,0
sulfur,sulfur,общая сера,macronutrient,макроэлементы,316,4,16.1,100.0,100.0,10.1,94.0,mg/kg,111.0,7.0,2550.0,51
total_nitrogen,total nitrogen,общий азот,macronutrient,макроэлементы,313,40,36.4,100.0,100.0,38.0,72.2,g/kg,2.0,0.9,3.2,114
aluminium_ion,aluminium ion Al3+,ион алюминия Al3+ (метод не указан),soil_solution,почвенный раствор,306,20,9.2,100.0,100.0,70.3,91.5,%,0.6,0.6,0.8,28
wilting_point,wilting point,влажность завядания,hydrophysical,гидрофизические свойства,291,13,3.1,100.0,99.7,88.3,97.9,%,20.0,18.3,21.7,8
sodium_oxide_na2o,sodium oxide Na2O,оксид натрия (Na₂O),geochemical,геохимические свойства,279,33,2.9,100.0,98.9,53.8,90.7,%,0.55,0.41,1.14,8
nitrate_ion,nitrate ion NO3-,нитрат-ион NO3- (метод не указан),soil_solution,почвенный раствор,275,32,7.6,100.0,95.6,22.2,78.9,mg/kg,4.5,2.5,8.2,21
total_phosphorus,total phosphorus,общий фосфор,macronutrient,макроэлементы,269,9,3.3,100.0,100.0,11.2,82.2,g/kg,1.33,1.2,1.72,9
very_coarse_sand,very coarse sand 3-1 mm,очень крупный песок (3–1 мм),particle_size,гранулометрический состав,249,11,8.8,100.0,97.6,27.7,73.5,%,0.07,0.03,0.1,22
ammonium_ion,ammonium ion NH4+,ион аммония NH4+ (метод не указан),soil_solution,почвенный раствор,229,23,16.6,100.0,96.1,22.7,90.8,mg/kg,4.4,3.38,10.0,38
field_capacity,field capacity,наименьшая влагоёмкость,hydrophysical,гидрофизические свойства,225,22,8.0,100.0,92.9,16.9,72.0,%,12.4,8.0,24.08,16
carbonate_ion,carbonate ion CO3 2-,карбонат-ион CO3 2-,soil_solution,почвенный раствор,214,18,0.0,100.0,94.9,67.8,81.3,,,,,0
urease_activity,urease activity,уреазная активность,biological,биологические свойства,207,12,0.0,100.0,91.3,52.2,83.6,,,,,0
mercury,mercury,ртуть,contaminant,потенциальные загрязнители,195,13,11.8,87.2,97.9,5.6,97.9,mg/kg,21000.0,0.023,31000.0,23
exchangeable_acidity,exchangeable acidity,обменная кислотность,acid_base,кислотно-основные,174,11,0.0,100.0,100.0,51.1,93.1,,,,,0
hydrogen_carbon_ratio,H:C ratio,отношение H:C,organic,органическое вещество и углерод,164,22,0.0,100.0,100.0,4.3,92.1,,,,,0
total_dissolved_solids,total dissolved solids,общее содержание растворённых веществ,salinity,засоление и минерализация,142,12,4.2,100.0,100.0,59.2,93.0,g/L,35.3,30.1,40.0,6
sodium_adsorption_ratio,sodium adsorption ratio,коэффициент адсорбции натрия (SAR),salinity,засоление и минерализация,139,9,0.0,100.0,100.0,7.9,21.6,,,,,0
aggregate_stability,aggregate stability,агрегатная устойчивость,physical,физические свойства,125,8,33.6,100.0,100.0,6.4,87.2,%,2.2,1.0,4.8,42
dehydrogenase_activity,dehydrogenase activity,дегидрогеназная активность,biological,биологические свойства,121,12,0.0,100.0,100.0,35.5,86.8,,,,,0
oxygen_carbon_ratio,O:C ratio,отношение O:C,organic,органическое вещество и углерод,112,19,0.0,100.0,97.3,6.2,92.0,,,,,0
molybdenum,molybdenum,молибден,microelement,микроэлементы,106,11,0.0,100.0,99.1,25.5,78.3,,,,,0
carbon_phosphorus_ratio,C:P ratio,отношение C:P,organic,органическое вещество и углерод,96,4,0.0,100.0,100.0,3.1,43.8,,,,,0
saturated_hydraulic_conductivity,saturated hydraulic conductivity,насыщенная гидравлическая проводимость,hydrophysical,гидрофизические свойства,95,11,3.2,100.0,100.0,51.6,76.8,cm/day,8.9,7.5,8.9,3
exchangeable_sodium_percentage,exchangeable sodium percentage,доля обменного натрия (ESP),salinity,засоление и минерализация,94,7,85.1,100.0,98.9,66.0,9.6,%,9.84,3.15,24.3,80
gravimetric_water_content,gravimetric water content,массовая влажность,hydrophysical,гидрофизические свойства,86,11,57.0,100.0,86.0,8.1,44.2,%,30.0,15.0,45.0,49
redox_potential,redox potential,окислительно-восстановительный потенциал (Eh),geochemical,геохимические свойства,76,9,36.8,100.0,100.0,19.7,50.0,mV,-48.0,-148.0,317.0,28
potassium_exchangeable,exchangeable potassium,обменный калий,exchange,обменный комплекс,70,5,0.0,100.0,100.0,4.3,22.9,,,,,0
sodium,sodium,натрий,exchange,обменный комплекс,62,4,0.0,100.0,100.0,48.4,100.0,,,,,0
exchangeable_hydrogen,exchangeable hydrogen,обменный водород,acid_base,кислотно-основные,60,4,0.0,100.0,100.0,80.0,100.0,,,,,0
nitrate_n,nitrate nitrogen,нитратный азот,macronutrient,макроэлементы,57,8,17.5,100.0,100.0,1.8,100.0,mg/kg,50.0,40.0,89.0,10
soil_temperature,soil temperature,температура почвы,environmental,условия среды,57,9,0.0,100.0,100.0,3.5,66.7,,,,,0
ammonium_n,ammonium nitrogen,аммонийный азот,macronutrient,макроэлементы,54,5,0.0,100.0,100.0,1.9,88.9,,,,,0
penetration_resistance,penetration resistance,сопротивление пенетрации,physical,физические свойства,45,2,0.0,100.0,100.0,0.0,0.0,,,,,0
exchangeable_magnesium,exchangeable magnesium,обменный магний,exchange,обменный комплекс,35,2,82.9,100.0,100.0,100.0,100.0,mol(+)/kg,0.28,0.16,0.55,29
microbial_biomass_carbon,microbial biomass carbon,углерод микробной биомассы,biological,биологические свойства,33,4,0.0,100.0,100.0,18.2,18.2,,,,,0
inorganic_carbon,inorganic carbon,неорганический углерод,organic,органическое вещество и углерод,29,5,55.2,100.0,100.0,20.7,100.0,g/kg,4.9,1.2,7.0,16
particle_density,particle density,плотность твёрдой фазы,physical,физические свойства,28,5,75.0,100.0,100.0,0.0,21.4,g/cm3,2.535,2.495,2.58,21
total_potassium,total potassium,общий калий,macronutrient,макроэлементы,23,3,13.0,100.0,100.0,13.0,30.4,g/kg,88.0,46.0,88.0,3
mineral_nitrogen,mineral nitrogen,минеральный азот,macronutrient,макроэлементы,20,4,50.0,100.0,100.0,40.0,100.0,mg/kg,7.0,4.0,14.0,10
calcium_ion_activity_paste,calcium ion activity in soil paste,активность ионов кальция в почвенной пасте,soil_solution,почвенный раствор,16,1,100.0,100.0,100.0,62.5,100.0,mmol/L,0.032,0.003,0.063,16
phosphatase_activity,phosphatase activity,фосфатазная активность,biological,биологические свойства,11,2,0.0,100.0,100.0,90.9,90.9,,,,,0
aluminium_exchangeable,exchangeable aluminium,обменный алюминий,exchange,обменный комплекс,6,1,0.0,100.0,100.0,0.0,100.0,,,,,0
selenium,selenium,селен,contaminant,потенциальные загрязнители,6,1,0.0,100.0,66.7,0.0,0.0,,,,,0
water_holding_capacity,water holding capacity,водоудерживающая способность,hydrophysical,гидрофизические свойства,3,1,0.0,100.0,100.0,0.0,100.0,,,,,0
microbial_biomass_nitrogen,microbial biomass nitrogen,азот микробной биомассы,biological,биологические свойства,2,1,0.0,100.0,100.0,0.0,100.0,,,,,0
