property_id,property,category,canonical_unit,property_ru,category_ru,observations,documents,document_ids,mapping_basis
smp_reserve,spherical magnetic particle reserve,soil_contamination,g/m2,,,29,1,springer:10.1134_S1064229312010036,explicit_header_mapping
snow_period_precipitation,precipitation during snow period,hydrometeorological,mm,,,28,3,springer:10.1134_S1064229308070077;springer:10.1134_S1064229318010039;springer:10.1134_S1064229322100040,explicit_header_mapping
snow_water_reserve,water reserve in snow,hydrometeorological,mm,,,2,1,springer:10.1134_S1064229308070077,explicit_header_mapping
snowmelt_water_change,snowmelt water change,hydrometeorological,mm,,,16,1,springer:10.1134_S1064229318010039,explicit_header_mapping
soil_cover_percentage,percentage in soil cover,vegetation,%,,,22,1,springer:10.1134_S1064229306050012,explicit_header_mapping
soil_depth,soil depth,hydrophysical,cm,,,31,2,springer:10.1134_S1064229313040066;springer:10.1134_S1064229315080062,explicit_header_mapping
soil_effervescence_depth,soil effervescence depth,soil_profile,cm,,,12,1,springer:10.1134_S1064229325600502,explicit_header_mapping
soil_horizon_depth,soil horizon depth,soil_profile,cm,,,152,2,springer:10.1134_S1064229313020038;springer:10.1134_S1064229316070140,explicit_header_mapping
soil_loss,soil loss,erosion,t/ha/year,,,72,2,springer:10.1134_S1064229308080115;springer:10.1134_S106422931912010X,explicit_header_mapping
soil_moistening_depth,soil moistening depth,hydrophysical,cm,,,83,2,springer:10.1134_S1064229308070077;springer:10.1134_S1064229310010072,explicit_header_mapping
soil_moisture_reserve,soil moisture reserve,hydrophysical,mm,,,39,1,springer:10.1134_S1064229310120069,explicit_header_mapping
soil_thorium_concentration,soil thorium concentration,contaminant,mg/kg,,,14,1,springer:10.1134_S1064229317120031,explicit_header_mapping
soil_uranium_concentration,soil uranium concentration,contaminant,mg/kg,,,13,1,springer:10.1134_S1064229317120031,explicit_header_mapping
soil_water_deficit,soil water deficit,hydrophysical,mm,,,98,2,springer:10.1134_S1064229308070077;springer:10.1134_S1064229310010072,explicit_header_mapping
sorption_b,sorption b,soil_chemistry,kg/kg,,,42,1,springer:10.1134_S1064229318070098,explicit_header_mapping
sorption_ln_a,sorption ln(a),soil_chemistry,J/kg,,,17,1,springer:10.1134_S1064229318070098,explicit_header_mapping
total_humus_carbon,total humus carbon,organic,g,,,22,1,springer:10.1134_S106422930609002X,explicit_header_mapping
underground_dry_phytomass,under-ground dry phytomass,biological,g/100 cm3,,,2,1,springer:10.1134_S1064229324604402,explicit_header_mapping
vegetation_pole_density,pole density,vegetation,%,,,888,1,springer:10.1134_S1064229313040066,explicit_header_mapping
water_infiltration,water infiltration,hydrophysical,mm,,,13,1,springer:10.1134_S1064229318010039,explicit_header_mapping
water_input,water input,hydrophysical,mm,,,41,1,springer:10.1134_S1064229310010072,explicit_header_mapping
water_outflow,water outflow,hydrophysical,mm,,,20,2,springer:10.1134_S1064229308070077;springer:10.1134_S1064229310010072,explicit_header_mapping
water_vapor_sorption,water vapor sorption,soil_physics,µL/g,,,20,1,springer:10.1134_S1064229314120011,explicit_header_mapping
xray_diffraction_intensity,X-ray diffraction intensity,soil_mineralogy,arbitrary unit,,,17,1,springer:10.1134_S1064229322050076,explicit_header_mapping
