site_id,country_code,site_name,region,latitude,longitude,spatial_precision_m,spatial_confidence,geometry_source,coordinate_evidence,coordinate_artifact_types,document_ids,dois,titles,publication_years,corpora,staged_measurement_count
site:pochvovedenie:Pochved1903009Shamrikova:text:raw:ru_abbr:dms:1,RU,"Reported study point 68.330389, 59.518833",,68.33038888888889,59.51883333333333,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"ри- зонта (W), слабосвязанного рыхлыми корневыми системами, накопление и послойное захоронение грубого и тонкого талассогенного органического вещества, наличие глеевых горизонтов; – участок II расположен в 100 м от первого вглубь материка (68°19′49.4″ с. ш., 59°31′07.8″ в. д.): марши среднего уровня; осоково-злаковое со- общество с галофитами; почва маршевая дерно- во-глеевая супесчаная (Tidalic Fluvisols (Arenic, Ochric, Epiprotosalic)), далее маршевая дерново- глеевая почва) со следующим строением профиля: AYao(0–10)–AYh(10–19)–ACao,g(19–30)–СG(30– 63)–СG(63–78), подвергается периодическ",text,pochvovedenie:Pochved1903009Shamrikova,,РАСПРЕДЕЛЕНИЕ УГЛЕРОДА И АЗОТА,2019,pochvovedenie,0
site:pochvovedenie:Pochved1903009Shamrikova:text:raw:ru_abbr:dms:2,RU,"Reported study point 68.307361, 59.736889",,68.3073611111111,59.73688888888889,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"о время сизи- гийных приливов, штормов и нагонов воды. Профиль формируется под влиянием двух веду- щих почвенных процессов: дернового – в верх- них и глеевого – в нижних горизонтах. Почва отличается хорошо развитой дерниной; – участок III (68°18′26.5″ с. ш., 59°44′12.8″ в. д.) по расположению аналогичен участку II: марши среднего уровня; разнотравно-злаковое расти- тельное сообщество с галофитами; почва марше- вая примитивная дерново-глеевая тяжелосугли- нистая (Tidalic Fluvisols (Loamic, Ochric, Epipro- tosalic)), подстилаемая супесчаными отложе- ниями, далее почва маршевая примитивная де",text,pochvovedenie:Pochved1903009Shamrikova,,РАСПРЕДЕЛЕНИЕ УГЛЕРОДА И АЗОТА,2019,pochvovedenie,0
site:pochvovedenie:Pochved1903009Shamrikova:text:raw:ru_abbr:dms:3,RU,"Reported study point 68.334917, 59.556083",,68.33491666666666,59.55608333333333,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"участке следы их пребывания наименее обильны. В маршевых поч- вах всех участков присутствие карбонатов морфо- логически не отмечено. Вскипание отдельных морфонов от действия хлороводородной кислоты (ω(HCl) = 10%) не выражено. – участок IV (68°20′05.7″ с. ш., 59°33′21.9″ в. д.) расположен на высоком обрывистом берегу, под- верженном влиянию засоленных морских вод по- средством выпадения морских аэрозолей. Плос- кополигональный болотный комплекс (кустар- ничковое мохово-лишайниковое растительное сообщество); почва торфяная олиготрофная мерзлотная (Cryic Folic Histosols) характеризует- ся сле",text,pochvovedenie:Pochved1903009Shamrikova,,РАСПРЕДЕЛЕНИЕ УГЛЕРОДА И АЗОТА,2019,pochvovedenie,0
site:pochvovedenie:Pochved1903009Shamrikova:text:raw:ru_abbr:dms:4,RU,"Reported study point 68.283028, 59.913750",,68.28302777777778,59.91375,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"отный комплекс (кустар- ничковое мохово-лишайниковое растительное сообщество); почва торфяная олиготрофная мерзлотная (Cryic Folic Histosols) характеризует- ся следующим строением профиля: О(0–1)– Т1(1–16)–Т2(16–23)–Т⊥(23–30); – участок V (68°16′58.9″ с. ш., 59°54′49.5″ в. д.) находится на выровненной водораздельной тер- ритории, менее всех подверженной влиянию за- соленных морских вод. Почва – торфяно-глеезем  560 ПОЧВОВЕДЕНИЕ   № 5   2019 ШАМРИКОВА и др. криогенно-ожелезненный мерзлотный (Histic Reductaquic Cryosols, далее торфяно-глеезем), профиль которой представлен последовательно- ст",text,pochvovedenie:Pochved1903009Shamrikova,,РАСПРЕДЕЛЕНИЕ УГЛЕРОДА И АЗОТА,2019,pochvovedenie,0
site:pochvovedenie:Pochved1904008Gyninova:text:raw:dms:l:0,RU,"Reported study point 52.129750, 106.909833",,52.12975,106.90983333333334,,reported,Explicit decimal coordinates in source; country checked against pinned Natural Earth boundary,"строение почв. Почвообразу- ющей породой исследованных почв служат переве- янные песчаные отложения озерно-речных террас, характеризующиеся плотноватым сложением и желтовато-светло-бурым цветом (10YR 6/4). Разр. 15Д-11 (52°07′47.1″ N; 106°54′35.4″ E) за- ложен в типичном для данной территории брус- нично-лишайниковом  сосновом  лесу  (10C) Рис. 1. Схема геоморфологического строения территории исследования. Озеро Байкал N Элементы геоморфологического строения Периферическая часть дельты Лопастная часть де",text,pochvovedenie:Pochved1904008Gyninova,,ПОСЛЕПОЖАРНАЯ ЭВОЛЮЦИЯ ПЕСЧАНЫХ ПОЧВ,2019,pochvovedenie,0
site:pochvovedenie:Pochved1904008Gyninova:text:raw:dms:l:1,RU,"Reported study point 52.130694, 106.931194",,52.130694444444444,106.93119444444444,,reported,Explicit decimal coordinates in source; country checked against pinned Natural Earth boundary,"деле- ние соответствующего подтипа. Принимая во внимание осветленные пятна в нижней части гу- мусового горизонта и вертикальные полосы в гор. C˙˙f, возможно, следует почвы отнести к под- типу оподзоленных. Разр. 13Д-11 (52°07′50.5″ N; 106°55′52.3″ E) за- ложен в 2011 г. под сосновым (10С) лесом IV клас- са бонитета, поврежденным низовым пожаром. По данным Кабанского лесхоза, лесной массив был пройден пожарами в 1996 г., за 15 лет до про- веденных нами исследований. Напочвенный по- кров неоднородный: чере",text,pochvovedenie:Pochved1904008Gyninova,,ПОСЛЕПОЖАРНАЯ ЭВОЛЮЦИЯ ПЕСЧАНЫХ ПОЧВ,2019,pochvovedenie,0
site:pochvovedenie:Pochved1904008Gyninova:text:raw:dms:l:2,RU,"Reported study point 52.130833, 106.917833",,52.130833333333335,106.91783333333333,,reported,Explicit decimal coordinates in source; country checked against pinned Natural Earth boundary,"я для поселения лишайника, образования агрессивных форм гумуса, подкислению. Это, при одновременном разрушении углистого компонен- та, со временем приведет к уменьшению содержа- ния органического вещества. Разр. 14Д-11 (52°07′51″ N; 106°55′4.2″ E) зало- жен в 100 м от разр. 13Д-11, на участке, где 15 лет  454 ПОЧВОВЕДЕНИЕ   № 4   2019 ГЫНИНОВА и др. назад относительно времени закладки разреза в результате верхового пожара растительный по- кров и лесная подстилка полностью выгорели. Возобновление древе",text,pochvovedenie:Pochved1904008Gyninova,,ПОСЛЕПОЖАРНАЯ ЭВОЛЮЦИЯ ПЕСЧАНЫХ ПОЧВ,2019,pochvovedenie,0
site:pochvovedenie:Pochved1905005Koshovskii:text:raw:russian_decimal_degrees:lon_first:0,RU,"Reported field object 53.630000, 37.160000",,53.63,37.16,,reported,"Explicit author-reported russian_decimal_degrees_cardinal coordinate; country validated; audited direct_labeled_field_object. Field-object location, not an automatic row-level measurement.","{""candidate_id"": ""pochvovedenie:Pochved1905005Koshovskii:text:raw:russian_decimal_degrees:lon_first:0"", ""audit_category"": ""direct_labeled_field_object"", ""source_context"": ""ккумулятивных процессов в пределах малого во- досбора с высокой степенью сельскохозяйствен- ного освоения. ОБЪЕКТЫ И МЕТОДЫ Объектом исследования был малый водосбор первого порядка площадью 96 га, расположенный в Плавском районе Тульской области в бассейне балки Часовенков Верх (37.16° в. д., 53.63° с. ш.). Рельеф и характер землепользования водосбора типичен для условий Среднерусской возвышен- ности. Ранее на исследуемой территории господство- вали луговые степи и участки широколиственных лесов [28]. Массовое сельскохозяйственное осво- ение бассейна р. Локна (территория бывшего Крапивенского уезда), согласно литературным и косвенным историческим данным, началось в се- редине X""}",text,pochvovedenie:Pochved1905005Koshovskii,,"ДИАГНОСТИКА, ГЕНЕЗИС И ЛОКАЛИЗАЦИЯ ПЕДОСЕДИМЕНТОВ",2019,pochvovedenie,0
site:pochvovedenie:Pochved1906006Ivanov:text:raw:degree_decimal_minutes:1,RU,"Reported field object 52.632900, 59.600983",,52.6329,59.60098333333333,,reported,"Explicit author-reported degree_decimal_minutes_cardinal coordinate; country validated; audited direct_labeled_field_object. Field-object location, not an automatic row-level measurement.","{""candidate_id"": ""pochvovedenie:Pochved1906006Ivanov:text:raw:degree_decimal_minutes:1"", ""audit_category"": ""direct_labeled_field_object"", ""source_context"": ""ников опре- деленной эпохи, культуры на некоторой террито- рии/длительность эпохи в столетиях) [13]. РЕЗУЛЬТАТЫ ИССЛЕДОВАНИЙ Вертикальные хроноряды почв низкой поймы Скв. 208 (глубина 370 см) расположена внутри болота, в 50 м от его края, на абсолютной высоте 316.5 м. Координаты 52°37.974′ N, 59°36.059′ E Поверхность – кочкарный осоковый (Carex) луг с подчиненным участием дербенника (Lythrum), рогоза широколиственного (Typha latifolia L.), тростника (Phragmites australis Cav.), веха ядовито- го (Cicuta virosa L.). Из числа водных растений и гидрофитов в современных спорово-пыльцевых спектрах преобладает осока, встречается ежего- ловник, единично – папоротники. Грунтовые воды – ""}",text,pochvovedenie:Pochved1906006Ivanov,,СИНЛИТОГЕННАЯ ЭВОЛЮЦИЯ ПОЙМЕННЫХ ПОЧВ,2019,pochvovedenie,0
site:pochvovedenie:Pochved1906012Taskaeva:text:raw:dms:l:0,RU,"Reported study point 67.434167, 63.826389",,67.43416666666667,63.82638888888889,,reported,Explicit decimal coordinates in source; country checked against pinned Natural Earth boundary," мхи. Кустистые и листоватые лишайники встречаются преимущественно небольшими пятнами на бу- горках. Почва – глеезем криометаморфический (Folic Stagnosol (Gelic)). Участок 4. Кустарничковая мохово-лишайни- ковая тундра (67°26′03″ N, 63°49′35″ E) располага- ется на относительно выровненной первой над- пойменной террасе р. Воркута. Микрорельеф представлен в виде небольших торфяных кочек и понижений. Проективное покрытие травянисто- кустарничкового яруса 40–50%. В сообществе обычно несколько содоминант",text,pochvovedenie:Pochved1906012Taskaeva,,ХАРАКТЕРИСТИКА СООБЩЕСТВ МИКРОАРТРОПОД,2019,pochvovedenie,0
site:pochvovedenie:Pochved1906012Taskaeva:text:raw:ru_abbr:dms:0,RU,"Reported field object 67.516667, 64.050000",,67.51666666666667,64.05,,reported,"Explicit author-reported russian_abbreviated_dms coordinate; country validated; audited direct_labeled_field_object. Field-object location, not an automatic row-level measurement.","{""candidate_id"": ""pochvovedenie:Pochved1906012Taskaeva:text:raw:ru_abbr:dms:0"", ""audit_category"": ""direct_labeled_field_object"", ""source_context"": "" Контрольные участки по- добрали таким образом, чтобы они были анало- гичны бывшим агроценозам как по исходному ти- пу тундры, так и по положению в рельефе. Описа- ния конкретных участков приводятся ниже. Участок 1. Многолетний сеяный луг (67°31′ N, 64°03′ E), располагающийся на надпойменной террасе, в настоящее время представляет собой злаково-разнотравный луг с доминированием мятлика лугового (Poa pratensis), лисохвоста луго- вого (Alopecurus pratensis) и щучки дернистой (De- schampsia cespitosa). Краткое описание технологии создания и история функционирования много- ле""}",text,pochvovedenie:Pochved1906012Taskaeva,,ХАРАКТЕРИСТИКА СООБЩЕСТВ МИКРОАРТРОПОД,2019,pochvovedenie,0
site:pochvovedenie:Pochved1906012Taskaeva:text:raw:ru_abbr:dms:1,RU,"Reported study point 67.533333, 64.033333",,67.53333333333333,64.03333333333333,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"борка урожая прекратились. Поч- ва – дерново-луговая (Mollic Stagnosol (Siltic, Gelic)), поверхность почвы покрыта уплотнен- ным слоем слаборазложившегося растительного материала толщиной 2–3 см. Участок 2. Разнотравно-злаковое сообщество (67°32′ N, 64°02′ E) расположено в пределах пра- вобережной пойменной террасы р. Воркута. В травостое доминирующее положение занимают кострец безостый (Bromopus inermis) и виды раз- нотравья: вероника длиннолистная (Veronica lon- gifolia), толстореберник альпийский (Pachipleurum alpinum), дудник лекарственный (Angelica archan- lelica) и ",text,pochvovedenie:Pochved1906012Taskaeva,,ХАРАКТЕРИСТИКА СООБЩЕСТВ МИКРОАРТРОПОД,2019,pochvovedenie,0
site:pochvovedenie:Pochved1906012Taskaeva:text:raw:ru_abbr:dms:2,RU,"Reported study point 67.416667, 63.833333",,67.41666666666667,63.833333333333336,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"сообществом формируется аллювиальная гумусовая глееватая постагрогенная почва (Gleyic Fluvisol (Arenic, Humic)).  ПОЧВОВЕДЕНИЕ   № 6   2019 ХАРАКТЕРИСТИКА СООБЩЕСТВ МИКРОАРТРОПОД 713 Участок 3. Мелкоерниковая кустарничково- моховая тундра (67°25′ N, 63°50′ E) находится в долине р. Воркута в пределах второй надпоймен- ной террасы, полого наклонной в сторону русла реки. Микрорельеф умеренно выражен, пред- ставлен, в основном, моховыми кочками вокруг кустов, местами встречаются пятна выморажива- ния. Кустарниковый ярус образуют Betula nana при участии Salix lanata и Salix ph",text,pochvovedenie:Pochved1906012Taskaeva,,ХАРАКТЕРИСТИКА СООБЩЕСТВ МИКРОАРТРОПОД,2019,pochvovedenie,0
site:pochvovedenie:Pochved1908007Efremova:text:raw:dms:l:0,RU,"Reported study point 54.684444, 88.666111",,54.68444444444444,88.66611111111112,,reported,Explicit decimal coordinates in source; country checked against pinned Natural Earth boundary,"ет на склоне горы Столовая (аб- солютная высота 1460 м) в естественном чашеоб- разном углублении (кресловине) с многолетним снежником. Общая площадь торфяника 1.8 га. Географические координаты отбора почвенных образцов: 54°41′04″ N, 88°39′58″ E. Торфяной массив Пихтерек (0.83 тыс. га) с горизонтами се- зонной мерзлоты и перелеток расположен в забо- лоченной долине р. Пихтерек на высоте 1087 м и  ПОЧВОВЕДЕНИЕ   № 8   2019 ФОРМАЛИЗОВАННЫЙ АНАЛИЗ ГУМУСНОГО СОСТОЯНИЯ 925 относится к геоморфологическому ",text,pochvovedenie:Pochved1908007Efremova,,ФОРМАЛИЗОВАННЫЙ АНАЛИЗ ГУМУСНОГО СОСТОЯНИЯ,2019,pochvovedenie,0
site:pochvovedenie:Pochved1908007Efremova:text:raw:dms:l:1,RU,"Reported study point 54.088056, 89.096944",,54.088055555555556,89.09694444444445,,reported,Explicit decimal coordinates in source; country checked against pinned Natural Earth boundary,"й мерзлоты и перелеток расположен в забо- лоченной долине р. Пихтерек на высоте 1087 м и  ПОЧВОВЕДЕНИЕ   № 8   2019 ФОРМАЛИЗОВАННЫЙ АНАЛИЗ ГУМУСНОГО СОСТОЯНИЯ 925 относится к геоморфологическому типу болот речных долин: 54°05′17″ N, 89°05′49″ E. Плоскогорье – гипсометрическая ступень ре- льефа 400–800 м над ур. м. В лесном поясе доми- нируют геоморфологические типы болот речных долин. Торфяные массивы чаще всего заняты хвойными и хвойно-лиственными древостоями с преобладанием ели сибирской гипново-з",text,pochvovedenie:Pochved1908007Efremova,,ФОРМАЛИЗОВАННЫЙ АНАЛИЗ ГУМУСНОГО СОСТОЯНИЯ,2019,pochvovedenie,0
site:pochvovedenie:Pochved1908007Efremova:text:raw:dms:l:2,RU,"Reported study point 54.128056, 90.258611",,54.128055555555555,90.25861111111111,,reported,Explicit decimal coordinates in source; country checked against pinned Natural Earth boundary,", Dicranum Rhytidiadelphus, Tuidium, Brium, Ptilium. Торфяной массив Бюря (0.65 тыс. га) залегает в заболоченной долине р. Бюря на абсолютной высоте 832 м Батеневского кряжа. Географиче- ские координаты отбора образцов: 54°07′41″ N, 90°15′31″ E. Массив Тунгужуль (1.77 тыс. га) сфор- мирован на высоте 622 м в долине р. Тунгужуль: 54°16′32″ N, 89°39′02″ E. Торфяной массив Печище (0.62 тыс. га) расположен на высоте 573 м Солгон- ского кряжа в долине р. Печище: 54°57′54″ N, 89°18′08″ E. Исследована совр",text,pochvovedenie:Pochved1908007Efremova,,ФОРМАЛИЗОВАННЫЙ АНАЛИЗ ГУМУСНОГО СОСТОЯНИЯ,2019,pochvovedenie,0
site:pochvovedenie:Pochved1908007Efremova:text:raw:dms:l:3,RU,"Reported study point 54.275556, 89.650556",,54.275555555555556,89.65055555555556,,reported,Explicit decimal coordinates in source; country checked against pinned Natural Earth boundary,"й долине р. Бюря на абсолютной высоте 832 м Батеневского кряжа. Географиче- ские координаты отбора образцов: 54°07′41″ N, 90°15′31″ E. Массив Тунгужуль (1.77 тыс. га) сфор- мирован на высоте 622 м в долине р. Тунгужуль: 54°16′32″ N, 89°39′02″ E. Торфяной массив Печище (0.62 тыс. га) расположен на высоте 573 м Солгон- ского кряжа в долине р. Печище: 54°57′54″ N, 89°18′08″ E. Исследована современная почва – корнена- сыщенная зона торфяной залежи 0–30(40) см, ко- торая ограничивалась, в том числе налич",text,pochvovedenie:Pochved1908007Efremova,,ФОРМАЛИЗОВАННЫЙ АНАЛИЗ ГУМУСНОГО СОСТОЯНИЯ,2019,pochvovedenie,0
